Комментарий String; ФИО String; Рейтинг Float; Рейтинг Float; Рейтинг Float; Кол-во_проектов Integer; Дата_рождения Date; Рейтинг Float; ФИО String; Комментарий String; 
Таким образом, постоянное инфо; Петрова Дарина Семёновна; 0,46; 3,35; 0,46; 88; 12.09.2001; 5,82; Русаков Егор Фёдорович; Разнообразный и богатый опыт н; 
Повседневная практика показыва; Петрова Дарина Семёновна; 1,0; 8,56; 1,17; 24; 27.07.2018; 2,42; Сергеева Элина Артёмовна; Повседневная практика показыва; 
Практический опыт показывает, ; Петрова Дарина Семёновна; 8,84; 4,98; 9,16; 39; 27.07.2018; 9,28; Зайцева Арина Давидовна; Повседневная практика показыва; 
Равным образом дальнейшее разв; Петрова Дарина Семёновна; 5,14; 5,82; 5,85; 40; 20.11.1971; 5,51; Тарасова Анна Фёдоровна; Соображения высшего порядка, а; 
Соображения высшего порядка, а; Петрова Дарина Семёновна; 3,14; 5,14; 6,28; 75; 21.01.2018; 9,28; Воробьева Антонина Адамовна; Не следует, однако, забывать о; 
Соображения высшего порядка, а; Петрова Дарина Семёновна; 1,0; 5,9; 7,9; 69; 27.05.1999; 9,16; Ушакова Ксения Кирилловна; Значимость этих проблем настол; 
Значимость этих проблем настол; Петрова Дарина Семёновна; 7,98; 8,84; 6,6; 90; 02.02.2006; 5,51; Иванова Ева Семёновна; Значимость этих проблем настол; 
Повседневная практика показыва; Петрова Дарина Семёновна; 1,02; 6,5; 0,54; 53; 04.07.1999; 9,16; Иванов Георгий Константинович; Дорогие друзья, постоянный кол; 
Не следует, однако, забывать о; Петрова Дарина Семёновна; 7,15; 2,04; 4,5; 7; 22.07.2000; 1,0; Фетисова Дарья Артёмовна; Значимость этих проблем настол; 
Повседневная практика показыва; Петрова Дарина Семёновна; 4,73; 2,09; 1,0; 21; 19.09.1974; 4,98; Гришин Тихон Максимович; Равным образом дальнейшее разв; 
Не следует, однако, забывать о; Петрова Дарина Семёновна; 3,14; 4,22; 5,24; 88; 23.09.1987; 4,98; Широкова Аиша Дмитриевна; С другой стороны новая модель ; 
Соображения высшего порядка, а; Петрова Дарина Семёновна; 6,5; 7,95; 7,98; 31; 09.10.1984; 5,96; Ушакова Ксения Кирилловна; Соображения высшего порядка, а; 
Не следует, однако, забывать о; Петрова Дарина Семёновна; 6,9; 6,28; 3,35; 18; 13.08.2011; 2,84; Гришин Тихон Максимович; Не следует, однако, забывать о; 
Не следует, однако, забывать о; Петрова Дарина Семёновна; 3,14; 4,04; 7,95; 27; 29.10.1987; 1,18; Журавлев Богдан Артёмович; Практический опыт показывает, ; 
Повседневная практика показыва; Петрова Дарина Семёновна; 1,0; 6,9; 5,51; 76; 22.07.2000; 3,35; Тихонова Любовь Борисовна; Таким образом, сложившаяся стр; 
Разнообразный и богатый опыт п; Петрова Дарина Семёновна; 8,84; 6,27; 8,84; 39; 30.09.2002; 9,0; Широкова Аиша Дмитриевна; Таким образом, сложившаяся стр; 
Соображения высшего порядка, а; Петрова Дарина Семёновна; 4,73; 2,21; 3,9; 22; 20.11.2016; 0,54; Алексеева Виктория Максимовна; Равным образом дальнейшее разв; 
Соображения высшего порядка, а; Петрова Дарина Семёновна; 6,22; 7,95; 0,46; 99; 15.05.1991; 7,15; Калашников Кирилл Кириллович; Дорогие друзья, консультация с; 
Значимость этих проблем настол; Петрова Дарина Семёновна; 0,03; 0,4; 5,55; 9; 05.09.1999; 5,85; Морозов Игорь Саввич; Значимость этих проблем настол; 
Повседневная практика показыва; Петрова Дарина Семёновна; 4,98; 2,09; 9,28; 76; 03.12.1982; 2,42; Тарасова Анна Фёдоровна; Значимость этих проблем настол; 
Значимость этих проблем настол; Петрова Дарина Семёновна; 0,93; 6,12; 5,96; 53; 05.09.1999; 6,12; Журавлев Богдан Артёмович; Соображения высшего порядка, а; 
Повседневная практика показыва; Петрова Дарина Семёновна; 8,91; 6,61; 1,13; 95; 27.09.1980; 9,69; Литвинов Тимур Ярославович; Задача организации, в особенно; 
Равным образом дальнейшее разв; Петрова Дарина Семёновна; 4,04; 1,13; 5,66; 10; 20.11.1971; 5,85; Платонова Таисия Александровна; Повседневная практика показыва; 
Значимость этих проблем настол; Петрова Дарина Семёновна; 6,12; 5,01; 0,54; 29; 20.11.2016; 5,96; Королев Семён Михайлович; Значимость этих проблем настол; 
Равным образом дальнейшее разв; Петрова Дарина Семёновна; 4,29; 7,11; 6,49; 75; 13.08.2011; 1,0; Григорьев Михаил Кириллович; Дорогие друзья, консультация с; 
Не следует, однако, забывать о; Петрова Дарина Семёновна; 3,85; 9,0; 6,61; 27; 27.07.2018; 2,04; Костина Зоя Ивановна; Значимость этих проблем настол; 
Не следует, однако, забывать о; Петрова Дарина Семёновна; 4,04; 4,61; 3,06; 65; 21.01.2018; 6,6; Платонова Таисия Александровна; Значимость этих проблем настол; 
Равным образом сложившаяся стр; Петрова Дарина Семёновна; 0,4; 5,55; 6,5; 81; 29.09.1970; 3,06; Пименова Арина Степановна; Разнообразный и богатый опыт п; 
Значимость этих проблем настол; Петрова Дарина Семёновна; 6,28; 6,49; 8,85; 39; 21.01.2018; 5,96; Романова Наталья Дмитриевна; Соображения высшего порядка, а; 
С другой стороны новая модель ; Петрова Дарина Семёновна; 1,13; 4,5; 1,13; 29; 13.08.2011; 6,28; Андреев Константин Денисович; Дорогие друзья, постоянный кол; 
Дорогие друзья, постоянный кол; Петрова Дарина Семёновна; 8,85; 0,54; 2,84; 26; 02.10.2019; 1,17; Максимова Вероника Михайловна; Значимость этих проблем настол; 
Равным образом сложившаяся стр; Петрова Дарина Семёновна; 0,4; 7,9; 8,19; 3; 29.10.1987; 3,06; Костина Зоя Ивановна; Задача организации, в особенно; 
Соображения высшего порядка, а; Петрова Дарина Семёновна; 8,84; 4,29; 6,27; 29; 25.07.1991; 5,51; Ермолаев Михаил Артёмович; Соображения высшего порядка, а; 
Равным образом сложившаяся стр; Петрова Дарина Семёновна; 1,51; 4,51; 0,06; 69; 27.05.1999; 5,9; Агафонов Илья Павлович; Таким образом, сложившаяся стр; 
Значимость этих проблем настол; Петрова Дарина Семёновна; 0,54; 3,9; 6,12; 19; 24.01.1970; 0,93; Широкова Аиша Дмитриевна; Разнообразный и богатый опыт н; 
Таким образом, постоянное инфо; Петрова Дарина Семёновна; 4,04; 0,06; 4,04; 67; 31.10.1997; 0,06; Ушакова Ксения Кирилловна; Повседневная практика показыва; 
Не следует, однако, забывать о; Петрова Дарина Семёновна; 6,22; 0,03; 4,29; 27; 30.09.2002; 6,12; Ермолаев Михаил Артёмович; Дорогие друзья, постоянный кол; 
Значимость этих проблем настол; Петрова Дарина Семёновна; 0,93; 5,66; 6,5; 94; 04.12.2022; 5,51; Калинина Ника Львовна; Задача организации, в особенно; 
Таким образом, сложившаяся стр; Петрова Дарина Семёновна; 9,28; 1,18; 9,9; 75; 10.01.2006; 3,89; Алексеева Виктория Максимовна; Соображения высшего порядка, а; 
Значимость этих проблем настол; Петрова Дарина Семёновна; 4,29; 4,73; 6,9; 3; 25.07.1991; 4,51; Кононова Сафия Тимофеевна; Повседневная практика показыва; 
Таким образом, постоянное инфо; Петрова Дарина Семёновна; 8,88; 5,66; 6,28; 27; 25.07.1991; 0,06; Харитонова Виктория Викторовна; Значимость этих проблем настол; 
Соображения высшего порядка, а; Петрова Дарина Семёновна; 5,96; 3,9; 5,99; 78; 24.03.1982; 2,09; Селезнев Георгий Артёмович; Таким образом, сложившаяся стр; 
Таким образом, сложившаяся стр; Петрова Дарина Семёновна; 6,49; 1,51; 6,49; 95; 30.09.2002; 8,56; Сергеева Элина Артёмовна; Разнообразный и богатый опыт р; 
Значимость этих проблем настол; Петрова Дарина Семёновна; 7,15; 2,42; 1,02; 3; 27.05.1999; 6,61; Львов Владимир Константинович; Задача организации, в особенно; 
Соображения высшего порядка, а; Петрова Дарина Семёновна; 1,18; 4,98; 6,5; 53; 27.09.1980; 1,17; Зайцев Степан Андреевич; Таким образом, постоянное инфо; 
Повседневная практика показыва; Петрова Дарина Семёновна; 7,9; 8,33; 5,01; 45; 11.08.2013; 3,14; Платонова Таисия Александровна; Задача организации, в особенно; 
Дорогие друзья, постоянный кол; Петрова Дарина Семёновна; 6,49; 8,88; 4,51; 51; 29.10.1987; 7,9; Дегтярева Анастасия Никитична; Задача организации, в особенно; 
Равным образом дальнейшее разв; Петрова Дарина Семёновна; 4,61; 7,98; 4,98; 12; 29.10.1987; 0,93; Семенов Константин Кириллович; Практический опыт показывает, ; 
Разнообразный и богатый опыт н; Петрова Дарина Семёновна; 6,61; 8,84; 6,27; 40; 04.07.1999; 2,84; Платонова Таисия Александровна; Повседневная практика показыва; 
Значимость этих проблем настол; Петрова Дарина Семёновна; 5,66; 1,0; 3,06; 88; 23.09.1987; 5,23; Орлова Надежда Данииловна; Дорогие друзья, консультация с; 
Повседневная практика показыва; Петрова Дарина Семёновна; 7,9; 7,9; 1,02; 39; 04.07.1999; 5,5; Костина Зоя Ивановна; Значимость этих проблем настол; 
Не следует, однако, забывать о; Петрова Дарина Семёновна; 5,51; 1,18; 4,51; 90; 22.07.2000; 0,06; Иванова Ева Семёновна; Повседневная практика показыва; 
Дорогие друзья, постоянный кол; Петрова Дарина Семёновна; 9,16; 0,03; 1,02; 69; 15.05.1991; 7,9; Захарова Кристина Адамовна; Дорогие друзья, постоянный кол; 
Равным образом сложившаяся стр; Петрова Дарина Семёновна; 4,04; 2,04; 6,6; 90; 13.08.2011; 6,12; Тихонова Любовь Борисовна; Соображения высшего порядка, а; 
Практический опыт показывает, ; Петрова Дарина Семёновна; 4,98; 6,22; 5,55; 94; 02.10.2019; 5,14; Агафонов Илья Павлович; Значимость этих проблем настол; 
Не следует, однако, забывать о; Петрова Дарина Семёновна; 3,35; 7,98; 5,55; 29; 09.10.1984; 7,11; Сергеева Элина Артёмовна; Повседневная практика показыва; 
Не следует, однако, забывать о; Петрова Дарина Семёновна; 6,28; 0,93; 7,98; 24; 09.10.1984; 2,84; Зайцев Александр Романович; Дорогие друзья, консультация с; 
Равным образом дальнейшее разв; Петрова Дарина Семёновна; 6,12; 8,84; 0,03; 42; 31.10.1997; 9,0; Зайцев Александр Романович; Не следует, однако, забывать о; 
Не следует, однако, забывать о; Петрова Дарина Семёновна; 0,4; 1,02; 7,98; 42; 25.07.1991; 3,85; Зайцев Степан Андреевич; Соображения высшего порядка, а; 
Значимость этих проблем настол; Петрова Дарина Семёновна; 5,99; 3,06; 3,14; 44; 04.12.2022; 6,9; Петрова Дарина Семёновна; Значимость этих проблем настол; 
Значимость этих проблем настол; Петрова Дарина Семёновна; 8,88; 5,51; 6,22; 44; 11.05.1990; 8,19; Королев Семён Михайлович; Задача организации, в особенно; 
Значимость этих проблем настол; Петрова Дарина Семёновна; 4,51; 9,69; 3,9; 59; 22.05.2022; 1,02; Романова Наталья Дмитриевна; Повседневная практика показыва; 
Повседневная практика показыва; Петрова Дарина Семёновна; 0,54; 0,93; 8,56; 38; 09.07.2009; 9,28; Романова Наталья Дмитриевна; Не следует, однако, забывать о; 
Равным образом дальнейшее разв; Петрова Дарина Семёновна; 2,04; 5,82; 8,91; 65; 02.02.2006; 4,72; Михеева Милана Марковна; Дорогие друзья, консультация с; 
Значимость этих проблем настол; Петрова Дарина Семёновна; 2,84; 0,4; 5,66; 90; 27.09.1980; 9,0; Львов Владимир Константинович; Значимость этих проблем настол; 
Соображения высшего порядка, а; Петрова Дарина Семёновна; 0,03; 4,04; 7,73; 79; 15.04.1986; 5,66; Мартынов Данила Фёдорович; Дорогие друзья, постоянный кол; 
Значимость этих проблем настол; Петрова Дарина Семёновна; 2,84; 5,14; 4,61; 83; 27.07.2018; 6,27; Захарова Кристина Адамовна; Повседневная практика показыва; 
Равным образом сложившаяся стр; Петрова Дарина Семёновна; 7,15; 4,73; 8,4; 83; 20.11.1971; 1,02; Гришин Тихон Максимович; Не следует, однако, забывать о; 
Задача организации, в особенно; Петрова Дарина Семёновна; 4,51; 7,15; 5,5; 38; 04.07.1999; 4,29; Максимова Вероника Михайловна; Разнообразный и богатый опыт р; 
Таким образом, постоянное инфо; Петрова Дарина Семёновна; 6,12; 2,21; 2,21; 22; 20.11.2016; 7,15; Михеева Милана Марковна; Значимость этих проблем настол; 
Практический опыт показывает, ; Петрова Дарина Семёновна; 5,96; 7,95; 5,51; 57; 23.09.1987; 5,66; Ермолаев Михаил Артёмович; Значимость этих проблем настол; 
Не следует, однако, забывать о; Петрова Дарина Семёновна; 1,18; 4,22; 2,09; 87; 15.05.1991; 4,61; Литвинов Тимур Ярославович; Соображения высшего порядка, а; 
Значимость этих проблем настол; Петрова Дарина Семёновна; 5,25; 8,19; 3,35; 63; 24.01.1970; 9,16; Гусев Роман Александрович; Не следует, однако, забывать о; 
Таким образом, сложившаяся стр; Петрова Дарина Семёновна; 5,9; 0,06; 8,88; 76; 21.01.2018; 7,73; Михеева Милана Марковна; Не следует, однако, забывать о; 
Значимость этих проблем настол; Петрова Дарина Семёновна; 1,17; 3,85; 8,85; 39; 29.09.1970; 8,33; Казаков Матвей Рустамович; Соображения высшего порядка, а; 
Повседневная практика показыва; Петрова Дарина Семёновна; 6,27; 3,06; 7,9; 9; 12.09.2001; 1,18; Михайлова Мира Артёмовна; С другой стороны новая модель ; 
Дорогие друзья, постоянный кол; Петрова Дарина Семёновна; 5,5; 5,99; 2,04; 9; 12.09.2001; 3,85; Львов Владимир Константинович; Равным образом дальнейшее разв; 
Соображения высшего порядка, а; Петрова Дарина Семёновна; 8,19; 1,18; 3,06; 39; 25.03.1985; 7,11; Иванова Ева Семёновна; Соображения высшего порядка, а; 
Разнообразный и богатый опыт р; Петрова Дарина Семёновна; 0,54; 5,01; 8,19; 7; 15.04.1986; 1,02; Максимова Вероника Михайловна; Дорогие друзья, консультация с; 
Не следует, однако, забывать о; Петрова Дарина Семёновна; 3,35; 6,49; 9,0; 94; 27.09.1980; 5,25; Пименова Арина Степановна; Не следует, однако, забывать о; 
Соображения высшего порядка, а; Петрова Дарина Семёновна; 9,16; 5,66; 9,16; 86; 22.07.2000; 7,98; Кожевников Марк Романович; Таким образом, сложившаяся стр; 
Значимость этих проблем настол; Петрова Дарина Семёновна; 1,51; 8,88; 4,98; 49; 24.01.1970; 9,69; Орлова Надежда Данииловна; Разнообразный и богатый опыт н; 
Значимость этих проблем настол; Петрова Дарина Семёновна; 7,73; 6,12; 5,23; 21; 27.05.1999; 7,73; Калашников Кирилл Кириллович; Таким образом, постоянное инфо; 
Повседневная практика показыва; Петрова Дарина Семёновна; 7,15; 4,98; 5,5; 86; 13.08.2011; 1,17; Максимова Вероника Михайловна; Повседневная практика показыва; 
Значимость этих проблем настол; Петрова Дарина Семёновна; 2,09; 7,11; 4,73; 7; 27.05.1999; 5,01; Львов Владимир Константинович; Разнообразный и богатый опыт р; 
Дорогие друзья, постоянный кол; Петрова Дарина Семёновна; 8,84; 2,04; 8,4; 26; 01.11.2019; 8,19; Тарасова Анна Фёдоровна; Равным образом сложившаяся стр; 
Разнообразный и богатый опыт н; Петрова Дарина Семёновна; 7,11; 1,51; 6,9; 35; 22.05.2022; 8,33; Мартынов Данила Фёдорович; Значимость этих проблем настол; 
Равным образом дальнейшее разв; Петрова Дарина Семёновна; 3,9; 5,25; 8,84; 14; 24.03.1982; 2,42; Пименова Арина Степановна; Значимость этих проблем настол; 
Задача организации, в особенно; Петрова Дарина Семёновна; 8,85; 9,28; 5,55; 24; 05.11.2021; 4,72; Калашников Кирилл Кириллович; Дорогие друзья, консультация с; 
Задача организации, в особенно; Петрова Дарина Семёновна; 4,51; 6,61; 0,46; 67; 21.01.2018; 7,95; Ильина Василиса Михайловна; Дорогие друзья, постоянный кол; 
Дорогие друзья, постоянный кол; Петрова Дарина Семёновна; 4,98; 1,13; 9,69; 27; 25.03.1985; 4,5; Харитонова Виктория Викторовна; С другой стороны новая модель ; 
Не следует, однако, забывать о; Петрова Дарина Семёновна; 8,91; 0,03; 4,29; 90; 25.03.1985; 6,6; Орлова Надежда Данииловна; Значимость этих проблем настол; 
Значимость этих проблем настол; Петрова Дарина Семёновна; 6,22; 5,96; 5,82; 49; 24.03.1982; 7,15; Симонов Максим Ильич; Дорогие друзья, постоянный кол; 
Значимость этих проблем настол; Петрова Дарина Семёновна; 6,22; 5,23; 8,84; 95; 25.03.1985; 8,85; Петровская Елизавета Саввична; Повседневная практика показыва; 
Соображения высшего порядка, а; Петрова Дарина Семёновна; 4,04; 6,28; 1,13; 18; 11.08.2013; 6,9; Мартынов Данила Фёдорович; Соображения высшего порядка, а; 
Не следует, однако, забывать о; Петрова Дарина Семёновна; 6,9; 2,42; 6,6; 38; 31.10.1997; 5,82; Мещерякова Агния Кирилловна; Повседневная практика показыва; 
Повседневная практика показыва; Петрова Дарина Семёновна; 1,13; 3,14; 1,17; 51; 19.09.2019; 4,04; Иванова Ева Семёновна; Не следует, однако, забывать о; 
Не следует, однако, забывать о; Петрова Дарина Семёновна; 2,09; 1,17; 4,04; 83; 12.12.2004; 8,4; Михайлова Мира Артёмовна; Повседневная практика показыва; 
Повседневная практика показыва; Петрова Дарина Семёновна; 4,51; 6,22; 3,89; 19; 24.03.1982; 7,98; Литвинов Тимур Ярославович; Значимость этих проблем настол; 
Дорогие друзья, постоянный кол; Петрова Дарина Семёновна; 6,61; 5,82; 1,0; 40; 23.09.1987; 6,6; Литвинов Тимур Ярославович; Значимость этих проблем настол; 
Соображения высшего порядка, а; Петрова Дарина Семёновна; 6,6; 1,13; 0,4; 26; 11.05.1990; 5,5; Платонова Таисия Александровна; Не следует, однако, забывать о; 
Дорогие друзья, постоянный кол; Петрова Дарина Семёновна; 9,9; 9,9; 4,5; 7; 29.09.1970; 3,35; Шевелева Марина Васильевна; Равным образом дальнейшее разв; 
Не следует, однако, забывать о; Петрова Дарина Семёновна; 7,11; 9,69; 0,03; 18; 09.10.1984; 8,19; Иванов Георгий Константинович; Задача организации, в особенно; 
Разнообразный и богатый опыт н; Петрова Дарина Семёновна; 6,12; 4,51; 0,93; 67; 27.07.2018; 8,33; Коровина Валерия Кирилловна; Соображения высшего порядка, а; 
Равным образом сложившаяся стр; Петрова Дарина Семёновна; 4,51; 2,84; 1,0; 63; 09.07.2009; 6,27; Калинина Ника Львовна; Значимость этих проблем настол; 
Значимость этих проблем настол; Петрова Дарина Семёновна; 5,85; 6,49; 8,33; 89; 24.03.1982; 8,84; Андреев Константин Денисович; Соображения высшего порядка, а; 
Значимость этих проблем настол; Петрова Дарина Семёновна; 5,99; 2,21; 5,51; 57; 19.09.2019; 9,28; Михеева Милана Марковна; Таким образом, постоянное инфо; 
Задача организации, в особенно; Петрова Дарина Семёновна; 0,4; 5,55; 1,18; 85; 25.07.1991; 7,9; Коровина Валерия Кирилловна; Дорогие друзья, постоянный кол; 
Дорогие друзья, консультация с; Петрова Дарина Семёновна; 6,61; 8,88; 1,17; 85; 22.07.2000; 8,88; Морозов Олег Максимович; Повседневная практика показыва; 
Соображения высшего порядка, а; Петрова Дарина Семёновна; 5,85; 5,23; 8,19; 22; 12.09.2001; 5,25; Королев Семён Михайлович; Значимость этих проблем настол; 
Значимость этих проблем настол; Петрова Дарина Семёновна; 1,18; 6,12; 8,88; 76; 02.02.2006; 3,14; Калашников Кирилл Кириллович; Значимость этих проблем настол; 
Таким образом, постоянное инфо; Петрова Дарина Семёновна; 8,4; 0,93; 5,82; 89; 27.05.1999; 7,73; Широкова Аиша Дмитриевна; Повседневная практика показыва; 
Повседневная практика показыва; Петрова Дарина Семёновна; 4,72; 4,04; 4,5; 83; 27.05.1999; 8,84; Ермолаев Михаил Артёмович; Равным образом дальнейшее разв; 
Не следует, однако, забывать о; Петрова Дарина Семёновна; 6,5; 5,14; 4,73; 63; 24.01.1970; 9,69; Петрова Дарина Семёновна; Повседневная практика показыва; 
